EmpID,FirstName,LastName,Title,Supervisor,ADEmail,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,TerminationType,AttritionValue,TerminationDescription,DepartmentType,Division,State,JobFunctionDescription,GenderCode,LocationCode,RaceDesc,MaritalDesc,Performance Score,Current Employee Rating
3447,Mariela,Schultz,Area Sales Manager,Michelle Evans MD,mariela.schultz@bilearner.com,CCDR,Future Start,Part-Time,Zone C,Part-Time,Involuntary,1,Unit pass office southern break one.,Sales,General - Con,TX,Technician,Female,43481,Asian,Widowed,Fully Meets,3
3448,Angela,Molina,Area Sales Manager,Patricia Cook,angela.molina@bilearner.com,SVG,Future Start,Full-Time,Zone A,Temporary,Retirement,1,List class mind.,Sales,Engineers,TX,Specialist,Male,50705,Asian,Widowed,Fully Meets,3
3449,Gerald,Preston,Area Sales Manager,Ashley Reeves,gerald.preston@bilearner.com,EW,Future Start,Contract,Zone B,Temporary,Involuntary,1,Price third parent evening.,Sales,General - Eng,CO,Technician,Male,5168,Black,Single,Fully Meets,5
3450,Reilly,Moyer,Area Sales Manager,Stanley Harvey,reilly.moyer@bilearner.com,MSC,Active,Contract,Zone C,Temporary,Resignation,1,Cause military a sense. Doctor property may.,Sales,Field Operations,CO,Operator,Male,11765,Other,Single,Exceeds,2
3451,Carlee,French,Area Sales Manager,Michael Bradshaw,carlee.french@bilearner.com,TNS,Active,Contract,Zone C,Full-Time,Voluntary,1,Station another son positive.,Sales,General - Con,CO,Technician,Male,71071,Other,Divorced,Exceeds,3
3452,Jaydon,Blackburn,Area Sales Manager,Debbie Crosby,jaydon.blackburn@bilearner.com,PYZ,Active,Part-Time,Zone A,Part-Time,Unknown,0,Other,Sales,General - Con,IN,Foreman,Male,12122,Black,Divorced,Fully Meets,2
3453,Bridger,Carter,Area Sales Manager,Elizabeth Taylor,bridger.carter@bilearner.com,WBL,Active,Contract,Zone C,Part-Time,Unknown,0,Other,Sales,Fielders,MA,Engineer,Male,87065,White,Widowed,Fully Meets,4
3454,Leon,Beard,Area Sales Manager,Brian Dunlap,leon.beard@bilearner.com,PYZ,Active,Full-Time,Zone C,Full-Time,Unknown,0,Other,IT/IS,General - Con,KY,Foreman,Male,10415,Hispanic,Married,Needs Improvement,4
3455,Charity,Miranda,Area Sales Manager,Daniel Rodriguez,charity.miranda@bilearner.com,WBL,Active,Full-Time,Zone C,Temporary,Resignation,1,Pm local take example fund. Small heavy listen.,Sales,Project Management - Eng,KY,Manager,Male,3763,Other,Widowed,Exceeds,4
3456,Axel,Howe,Area Sales Manager,Martin Hammond,axel.howe@bilearner.com,NEL,Active,Full-Time,Zone A,Temporary,Unknown,0,Other,Sales,Field Operations,KY,Technician,Female,79623,Black,Divorced,Fully Meets,3
3457,Milton,Wall,Area Sales Manager,Sara Bell,milton.wall@bilearner.com,PL,Active,Full-Time,Zone B,Temporary,Unknown,0,Other,Sales,Engineers,KY,Technician,Female,69189,White,Divorced,Needs Improvement,3
3458,Cory,Robinson,Area Sales Manager,Elizabeth Anderson,cory.robinson@bilearner.com,BPC,Future Start,Contract,Zone A,Full-Time,Voluntary,1,Several young whether that expert.,Sales,Field Operations,TX,Laborer,Female,5194,Hispanic,Single,Needs Improvement,3
3459,Saniya,Yu,Area Sales Manager,Erin Bailey,saniya.yu@bilearner.com,CCDR,Future Start,Part-Time,Zone A,Full-Time,Retirement,1,Science end approach democratic treatment.,Sales,General - Con,TX,Splicer,Male,8779,Black,Widowed,Exceeds,2
3460,Alisa,James,Area Sales Manager,Dennis Henderson,alisa.james@bilearner.com,SVG,Active,Full-Time,Zone A,Full-Time,Unknown,0,Other,Sales,Aerial,TX,Lineman,Male,74682,Asian,Married,Fully Meets,3
3461,Lincoln,Compton,Area Sales Manager,Tammy Conner,lincoln.compton@bilearner.com,EW,Future Start,Full-Time,Zone C,Part-Time,Resignation,1,Base scene central unit per argue. Might last of.,Sales,General - Con,CO,Foreman,Male,78046,Hispanic,Married,Needs Improvement,1
3462,Aliana,Nolan,Area Sales Manager,Brianna Mathews,aliana.nolan@bilearner.com,MSC,Active,Contract,Zone A,Full-Time,Involuntary,1,Yourself book budget product.,Sales,Field Operations,CO,Coordinator,Male,27270,Hispanic,Divorced,Needs Improvement,3
3463,Kayden,Dodson,Area Sales Manager,Jessica Peters,kayden.dodson@bilearner.com,TNS,Active,Part-Time,Zone A,Temporary,Retirement,1,Paper can score else investment.,Sales,Field Operations,IN,Tower Hand,Male,12703,Hispanic,Single,Fully Meets,1
3464,James,Duke,Area Sales Manager,Mark Harris,james.duke@bilearner.com,PYZ,Active,Contract,Zone B,Full-Time,Involuntary,1,Stuff different color how.,Sales,Shop (Fleet),MA,Mechanic,Male,66835,Black,Widowed,Needs Improvement,5
3465,Willow,Stuart,Area Sales Manager,Elizabeth Tapia,willow.stuart@bilearner.com,WBL,Active,Full-Time,Zone B,Full-Time,Unknown,0,Other,Sales,General - Con,MA,Flagger,Male,66150,Asian,Divorced,Needs Improvement,3
3466,Clayton,Walker,Area Sales Manager,Jon Holden,clayton.walker@bilearner.com,PYZ,Active,Part-Time,Zone C,Full-Time,Retirement,1,Sign figure employee card education.,IT/IS,Aerial,KY,Supervisor,Male,64288,Other,Married,Exceeds,4
3467,Celia,Curtis,Area Sales Manager,Michael Odonnell,celia.curtis@bilearner.com,WBL,Active,Contract,Zone A,Part-Time,Unknown,0,Other,Sales,Fielders,KY,Engineer,Female,94333,Asian,Divorced,Exceeds,1
3468,Valentin,Reilly,Area Sales Manager,Andres Parker,valentin.reilly@bilearner.com,NEL,Active,Contract,Zone B,Temporary,Unknown,0,Other,Sales,Wireline Construction,KY,Foreman,Female,45453,Black,Single,Fully Meets,4
3469,Ryland,Shepherd,Area Sales Manager,James Berry,ryland.shepherd@bilearner.com,PL,Future Start,Contract,Zone B,Full-Time,Resignation,1,Right cut matter arrive difference.,Sales,Field Operations,TX,Driver,Female,81905,Asian,Divorced,Needs Improvement,3
3470,Esteban,Gilbert,Area Sales Manager,Gail Ali,esteban.gilbert@bilearner.com,BPC,Future Start,Contract,Zone C,Part-Time,Retirement,1,Speak professor statement result.,Sales,Field Operations,TX,Technician,Female,12491,Black,Married,Needs Improvement,3
3471,Jonathan,Adkins,Area Sales Manager,John Marshall,jonathan.adkins@bilearner.com,CCDR,Active,Part-Time,Zone C,Temporary,Unknown,0,Other,Sales,Field Operations,TX,Foreman,Male,64350,Asian,Married,Fully Meets,4
3472,Nevaeh,Soto,Area Sales Manager,Jessica Chang,nevaeh.soto@bilearner.com,SVG,Active,Contract,Zone C,Full-Time,Unknown,0,Other,Sales,Project Management - Con,TX,Director,Male,74124,Other,Married,Exceeds,4
3473,Chaim,Mata,Area Sales Manager,Desiree Vang,chaim.mata@bilearner.com,EW,Active,Part-Time,Zone A,Temporary,Unknown,0,Other,Sales,Shop (Fleet),CO,Manager,Male,33379,Hispanic,Widowed,Exceeds,2
3474,Arely,Patton,Area Sales Manager,Andrew Goodman,arely.patton@bilearner.com,MSC,Active,Full-Time,Zone A,Temporary,Unknown,0,Other,Sales,Catv,CO,Laborer,Male,34481,Other,Divorced,Fully Meets,2
3475,Vance,Trujillo,Area Sales Manager,Rebecca Simpson,vance.trujillo@bilearner.com,TNS,Active,Full-Time,Zone C,Temporary,Resignation,1,Expert challenge education air none money wide.,Sales,General - Con,IN,Foreman,Male,90406,Asian,Widowed,Fully Meets,2
3476,Charlie,Koch,Area Sales Manager,Samantha Cardenas,charlie.koch@bilearner.com,PYZ,Active,Part-Time,Zone A,Temporary,Voluntary,1,Buy become improve guess business know.,Sales,Fielders,MA,Engineer,Male,95774,Asian,Divorced,Needs Improvement,2
3477,Sonny,Horne,Area Sales Manager,Nancy Johnson,sonny.horne@bilearner.com,PYZ,Active,Part-Time,Zone A,Full-Time,Unknown,0,Other,IT/IS,Aerial,KY,Laborer,Female,16058,Asian,Widowed,Needs Improvement,2
3478,Thomas,Chandler,Area Sales Manager,Richard Hodges,thomas.chandler@bilearner.com,WBL,Active,Full-Time,Zone C,Temporary,Resignation,1,Read family dark scene scene guess.,Sales,Wireline Construction,KY,Groundman,Female,45149,Hispanic,Married,Fully Meets,2
3479,Sarai,Stone,Area Sales Manager,Madison Wilson,sarai.stone@bilearner.com,NEL,Active,Contract,Zone A,Part-Time,Involuntary,1,Somebody great could yet.,Sales,Project Management - Con,TX,Technician,Female,96336,Hispanic,Widowed,Fully Meets,2
3480,Jerimiah,Harmon,Area Sales Manager,Eric King,jerimiah.harmon@bilearner.com,PL,Future Start,Full-Time,Zone C,Temporary,Retirement,1,View vote contain within fight cup party war.,Sales,Catv,TX,Supervisor,Female,75671,Black,Widowed,Fully Meets,1
3481,Leland,Allen,Area Sales Manager,Brandon Harris,leland.allen@bilearner.com,BPC,Future Start,Full-Time,Zone C,Part-Time,Voluntary,1,Buy house certain wrong research chair.,Sales,Wireline Construction,TX,Splicer,Male,61149,Other,Widowed,Fully Meets,4
3482,Cristal,Bolton,Area Sales Manager,Matthew Flores,cristal.bolton@bilearner.com,CCDR,Future Start,Full-Time,Zone A,Temporary,Resignation,1,Miss onto none our discussion year.,Sales,Catv,TX,Lineman,Male,57302,Asian,Divorced,Needs Improvement,2
3483,Jaslene,Harding,Area Sales Manager,Krystal Hamilton,jaslene.harding@bilearner.com,SVG,Active,Part-Time,Zone B,Temporary,Unknown,0,Other,Sales,Project Management - Con,CO,Coordinator,Male,42605,Asian,Widowed,Fully Meets,1
3484,Albert,Gonzalez,Area Sales Manager,Amber Hernandez,albert.gonzalez@bilearner.com,EW,Active,Part-Time,Zone B,Full-Time,Unknown,0,Other,Sales,General - Con,CO,Model Assistant,Male,64036,Other,Single,Fully Meets,4
3485,Jaiden,Johnson,Area Sales Manager,Patricia Smith,jaiden.johnson@bilearner.com,MSC,Active,Contract,Zone C,Full-Time,Unknown,0,Other,Sales,Field Operations,CO,Laborer,Male,23173,White,Widowed,Fully Meets,5
3486,Brendon,Mcconnell,Area Sales Manager,Victoria Krause,brendon.mcconnell@bilearner.com,TNS,Active,Part-Time,Zone C,Temporary,Involuntary,1,Nature finish modern push former American.,Sales,Fielders,IN,Engineer,Male,19665,Other,Widowed,Fully Meets,4
3487,Kimora,Parsons,Area Sales Manager,Jesse Hunt,kimora.parsons@bilearner.com,BPC,Active,Contract,Zone B,Part-Time,Unknown,0,Other,Sales,General - Sga,KY,Administrator,Female,41161,Other,Divorced,Fully Meets,4
3488,Willie,Patterson,Area Sales Manager,Shane Jones,willie.patterson@bilearner.com,CCDR,Active,Contract,Zone B,Full-Time,Unknown,0,Other,Sales,Wireline Construction,KY,Lineman,Female,52499,Asian,Single,Fully Meets,2
3489,Devyn,Powers,Area Sales Manager,Jessica Murphy,devyn.powers@bilearner.com,EW,Active,Part-Time,Zone A,Temporary,Unknown,0,Other,Sales,Field Operations,TX,Laborer,Female,25634,Black,Divorced,Fully Meets,2
3490,Weston,Preston,Area Sales Manager,Crystal Wallace,weston.preston@bilearner.com,MSC,Active,Part-Time,Zone A,Part-Time,Unknown,0,Other,Sales,General - Sga,TX,Director,Female,37965,Hispanic,Divorced,Fully Meets,2
3491,Lennon,Buchanan,Area Sales Manager,Tina Nelson,lennon.buchanan@bilearner.com,NEL,Active,Contract,Zone B,Full-Time,Unknown,0,Other,Sales,Field Operations,TX,Driver,Male,39504,White,Widowed,Fully Meets,5
3492,Vicente,Merritt,Area Sales Manager,Ashley Smith,vicente.merritt@bilearner.com,PL,Active,Full-Time,Zone C,Full-Time,Unknown,0,Other,Sales,General - Con,CO,Clerk,Male,31676,Asian,Married,Fully Meets,1
3493,Hugo,Clay,Area Sales Manager,Eric Taylor,hugo.clay@bilearner.com,PYZ,Active,Full-Time,Zone C,Full-Time,Unknown,0,Other,Sales,Project Management - Con,CO,Project Manager,Male,28784,Asian,Widowed,Fully Meets,5
3494,Cohen,Raymond,Area Sales Manager,Jacob Snyder,cohen.raymond@bilearner.com,SVG,Active,Contract,Zone B,Full-Time,Unknown,0,Other,Sales,General - Con,CO,Technician,Male,90983,Black,Single,Fully Meets,4
3495,Tia,Ellis,Area Sales Manager,Daniel Cabrera,tia.ellis@bilearner.com,TNS,Active,Part-Time,Zone B,Temporary,Retirement,1,Night company image able suggest.,Sales,Wireline Construction,IN,Laborer,Male,1115,Other,Married,Fully Meets,4
3496,Aspen,Bentley,Area Sales Manager,Barbara Garcia,aspen.bentley@bilearner.com,WBL,Active,Contract,Zone A,Part-Time,Unknown,0,Other,Sales,General - Sga,CA,Administrator,Male,72233,Other,Widowed,Fully Meets,5
3497,Graham,Rodriguez,Area Sales Manager,Kendra Murray,graham.rodriguez@bilearner.com,TNS,Active,Part-Time,Zone C,Temporary,Unknown,0,Other,Sales,Project Management - Con,OR,Lineman,Female,58210,Hispanic,Widowed,Fully Meets,1
3498,Joel,Mcmillan,Area Sales Manager,Peter Harvey,joel.mcmillan@bilearner.com,PYZ,Active,Full-Time,Zone A,Full-Time,Voluntary,1,About allow article. For gas player magazine.,Sales,General - Sga,KY,Laborer,Female,36087,White,Widowed,Fully Meets,2
3499,Maci,Frost,Area Sales Manager,Patrick Daniel,maci.frost@bilearner.com,WBL,Active,Part-Time,Zone C,Temporary,Involuntary,1,Seem hand dog. Us six beyond place fund well.,Sales,Field Operations,KY,Technician,Female,61457,Asian,Widowed,Fully Meets,5
3500,Nevaeh,Lucas,Area Sales Manager,Bryan Douglas,nevaeh.lucas@bilearner.com,NEL,Active,Full-Time,Zone B,Part-Time,Voluntary,1,Game hour boy not write somebody owner.,Sales,Shop (Fleet),TX,Mechanic,Female,80424,White,Divorced,Fully Meets,1
3501,Garrett,Zimmerman,Area Sales Manager,Destiny Hopkins,garrett.zimmerman@bilearner.com,PL,Future Start,Part-Time,Zone A,Part-Time,Retirement,1,Worker medical commercial participant tough leg.,Sales,General - Con,TX,Technician,Male,6240,Other,Widowed,Fully Meets,4
3502,Eugene,Marks,Area Sales Manager,Angela Morris,eugene.marks@bilearner.com,BPC,Active,Full-Time,Zone C,Temporary,Unknown,0,Other,Sales,Splicing,TX,Electrician,Male,49914,White,Married,Fully Meets,1
3503,Geovanni,Pugh,Area Sales Manager,Erica Franklin,geovanni.pugh@bilearner.com,CCDR,Active,Part-Time,Zone A,Temporary,Unknown,0,Other,Sales,Project Management - Con,CO,Manager,Male,71319,Other,Single,Fully Meets,4
3504,Javon,Kelley,Area Sales Manager,Gabriela Orr,javon.kelley@bilearner.com,SVG,Active,Full-Time,Zone B,Part-Time,Unknown,0,Other,Sales,General - Con,CO,Laborer,Male,27992,Hispanic,Married,Fully Meets,2
3505,Amaya,Hicks,Area Sales Manager,Michael Wilkins,amaya.hicks@bilearner.com,EW,Active,Contract,Zone B,Temporary,Unknown,0,Other,Sales,Field Operations,IN,Groundman,Male,72324,Hispanic,Widowed,Fully Meets,1
3506,Laila,Woodard,Area Sales Manager,Jordan Vega,laila.woodard@bilearner.com,MSC,Active,Full-Time,Zone B,Temporary,Voluntary,1,Fund nor half early miss follow.,Sales,Field Operations,IN,Technician,Male,38740,Other,Married,Fully Meets,2
3507,Ivan,Huff,Area Sales Manager,John Miller,ivan.huff@bilearner.com,TNS,Active,Full-Time,Zone A,Full-Time,Retirement,1,Line later deal stand sometimes too mind.,Sales,Project Management - Con,CA,Manager,Male,9437,White,Single,Fully Meets,4
3508,Aidan,Harding,Area Sales Manager,Trevor Adkins,aidan.harding@bilearner.com,CCDR,Active,Full-Time,Zone B,Part-Time,Unknown,0,Other,Sales,Aerial,OR,Laborer,Male,9385,Asian,Single,Fully Meets,5
3509,Cruz,Boyer,Area Sales Manager,Marcus Hunt,cruz.boyer@bilearner.com,BPC,Active,Part-Time,Zone C,Full-Time,Unknown,0,Other,Sales,General - Sga,KY,Project Controls,Female,75993,Black,Married,Fully Meets,2
3510,Raven,Koch,Area Sales Manager,Jennifer King,raven.koch@bilearner.com,PYZ,Active,Part-Time,Zone A,Full-Time,Unknown,0,Other,Sales,General - Con,KY,Laborer,Female,65329,Hispanic,Married,Fully Meets,2
3511,Karli,Barker,Area Sales Manager,Shawn Dudley,karli.barker@bilearner.com,WBL,Active,Part-Time,Zone B,Full-Time,Resignation,1,Tell paper every.,Sales,Finance & Accounting,KY,Director,Female,41111,Asian,Divorced,Fully Meets,4
3512,Tyrone,Sosa,Area Sales Manager,Lindsay Chang,tyrone.sosa@bilearner.com,NEL,Future Start,Contract,Zone C,Temporary,Voluntary,1,Why sport must page bad.,Sales,Yard (Material Handling),TX,Coordinator,Female,58860,Black,Single,Fully Meets,2
3513,Damaris,Cisneros,Area Sales Manager,Sharon Ruiz,damaris.cisneros@bilearner.com,PL,Future Start,Contract,Zone C,Temporary,Involuntary,1,Something sense information final building.,Sales,General - Con,TX,Laborer,Male,93051,Other,Married,Fully Meets,5
3514,Alexus,Estes,Area Sales Manager,April Randolph,alexus.estes@bilearner.com,BPC,Active,Full-Time,Zone B,Part-Time,Unknown,0,Other,Sales,Wireline Construction,TX,Manager,Male,17419,Asian,Married,Fully Meets,1
3515,Kinsley,Flowers,Area Sales Manager,Mary Reilly,kinsley.flowers@bilearner.com,CCDR,Future Start,Part-Time,Zone A,Part-Time,Retirement,1,School see rest firm I.,Sales,Finance & Accounting,CO,Controller,Male,59593,White,Single,Fully Meets,4
3516,Deborah,Love,Area Sales Manager,Eric Goodman,deborah.love@bilearner.com,SVG,Active,Contract,Zone B,Part-Time,Retirement,1,Source doctor rock group this.,Sales,Project Management - Con,CO,Coordinator,Male,96350,Asian,Divorced,Fully Meets,5
3517,Milagros,Francis,Area Sales Manager,Caleb Schneider,milagros.francis@bilearner.com,EW,Active,Part-Time,Zone A,Part-Time,Unknown,0,Other,Sales,Splicing,IN,Splicer,Male,44469,Hispanic,Widowed,Fully Meets,4
3518,Roberto,Michael,Area Sales Manager,Cheryl Henry,roberto.michael@bilearner.com,MSC,Active,Contract,Zone B,Part-Time,Involuntary,1,Little imagine career he produce program.,Sales,General - Eng,CA,Coordinator,Female,13249,Hispanic,Married,Fully Meets,2
3519,Elaine,Ewing,Area Sales Manager,Dan Hernandez,elaine.ewing@bilearner.com,TNS,Active,Part-Time,Zone C,Temporary,Resignation,1,Your very trip successful memory to while out.,Sales,Aerial,CA,Groundman,Male,17123,Hispanic,Widowed,Fully Meets,2
3520,Caiden,Munoz,Area Sales Manager,Teresa Daniel,caiden.munoz@bilearner.com,TNS,Active,Full-Time,Zone C,Temporary,Involuntary,1,Red some option.,Sales,Project Management - Con,ND,Manager,Female,18983,Black,Divorced,Fully Meets,1
3521,Jocelyn,Bradford,Area Sales Manager,Melissa Decker,jocelyn.bradford@bilearner.com,WBL,Active,Contract,Zone C,Part-Time,Unknown,0,Other,Sales,General - Con,KY,Electrician,Female,51795,Asian,Divorced,Fully Meets,4
3522,Marques,Armstrong,Area Sales Manager,Michael Nguyen,marques.armstrong@bilearner.com,BPC,Active,Full-Time,Zone C,Part-Time,Unknown,0,Other,Sales,Splicing,KY,Splicer,Female,34369,Other,Single,Fully Meets,1
3523,Rohan,Chapman,Area Sales Manager,Tony Mcconnell,rohan.chapman@bilearner.com,CCDR,Active,Full-Time,Zone A,Temporary,Resignation,1,Theory grow future week house.,Sales,General - Con,KY,Laborer,Female,23092,Other,Single,Fully Meets,2
3524,Emmanuel,Franklin,Area Sales Manager,Adam Gibson,emmanuel.franklin@bilearner.com,EW,Future Start,Contract,Zone B,Full-Time,Resignation,1,Inside week also so.,Sales,Field Operations,TX,Laborer,Male,6074,Asian,Divorced,Fully Meets,2
3525,Clayton,Mccormick,Area Sales Manager,Stephanie Duke,clayton.mccormick@bilearner.com,MSC,Future Start,Contract,Zone B,Temporary,Retirement,1,Surface vote old picture.,Sales,General - Con,TX,Foreman,Male,72264,Hispanic,Single,Fully Meets,2
3526,Darius,Krause,Area Sales Manager,Paige Flores MD,darius.krause@bilearner.com,NEL,Active,Full-Time,Zone B,Full-Time,Unknown,0,Other,Sales,General - Con,TX,Foreman,Male,28282,White,Widowed,Fully Meets,4
3527,Ahmed,Hawkins,Area Sales Manager,Hannah Snyder,ahmed.hawkins@bilearner.com,PL,Active,Full-Time,Zone B,Temporary,Retirement,1,Especially thing recognize year fine shoulder.,Sales,Aerial,CO,Lineman,Male,46645,Black,Married,Fully Meets,1
3528,Kymani,Benjamin,Area Sales Manager,William Ayala,kymani.benjamin@bilearner.com,PYZ,Active,Full-Time,Zone C,Part-Time,Unknown,0,Other,Sales,Finance & Accounting,CO,Accounting,Male,10790,Hispanic,Widowed,Fully Meets,2
3529,Callum,Mcdaniel,Area Sales Manager,Samuel Moore,callum.mcdaniel@bilearner.com,SVG,Active,Part-Time,Zone C,Full-Time,Voluntary,1,Camera spring color about energy provide claim.,Sales,Field Operations,IN,Top Hand,Male,67282,Hispanic,Single,Fully Meets,2
3530,Zariah,Black,Area Sales Manager,Jenna Weaver,zariah.black@bilearner.com,TNS,Active,Full-Time,Zone B,Part-Time,Unknown,0,Other,Sales,Field Operations,CA,Tower Hand,Female,62321,Black,Widowed,Fully Meets,2
3531,Ronnie,Mayer,Area Sales Manager,Dylan Blake,ronnie.mayer@bilearner.com,WBL,Active,Full-Time,Zone C,Full-Time,Unknown,0,Other,Sales,Project Management - Con,CA,Project Manager,Male,18409,Black,Divorced,Fully Meets,1
3532,Marlon,Ford,Area Sales Manager,Monique Anderson,marlon.ford@bilearner.com,EW,Active,Part-Time,Zone B,Full-Time,Unknown,0,Other,IT/IS,Wireless,OR,Technician,Female,40306,Black,Widowed,Fully Meets,1
3533,Slade,Griffith,Area Sales Manager,Kelsey Gibson,slade.griffith@bilearner.com,MSC,Active,Contract,Zone B,Full-Time,Voluntary,1,Pass language out side age evidence.,Sales,General - Sga,ND,Administrator,Male,65183,White,Married,Fully Meets,2
3534,Lee,Frye,Area Sales Manager,Sonia Diaz,lee.frye@bilearner.com,TNS,Active,Full-Time,Zone A,Full-Time,Unknown,0,Other,Sales,Engineers,KY,Engineer,Female,97002,Asian,Single,Fully Meets,4
3535,Veronica,Rowe,Area Sales Manager,Brian Morton,veronica.rowe@bilearner.com,PYZ,Active,Full-Time,Zone A,Temporary,Retirement,1,Popular west moment natural step activity.,Sales,Fielders,KY,Engineer,Female,29811,Black,Single,Fully Meets,4
3536,Aylin,Berg,Area Sales Manager,Thomas Holmes,aylin.berg@bilearner.com,WBL,Active,Contract,Zone C,Temporary,Unknown,0,Other,Sales,General - Sga,GA,Administrative,Female,89169,Black,Single,Fully Meets,2
